Long/Short	Symbol	Shares	Entry Signal	Entry Bar	Entry Date	Entry Price	Exit Signal	Exit Bar	Exit Date	Exit Price	% Change	Net Profit	Bars Held	Profit/Bar	Cum Profit	MAE	MAE %	MFE	MFE %
Длинная	RTS_M1_2008_2015	1	Long pos 1	22	09.01.2008 16:00	232415	close1 by rsi	23	09.01.2008 16:15	231900	-0,22	-515	1	-515	-515	-515	-0,22%	160	0,07%
Длинная	RTS_M1_2008_2015	2	Long pos 2	22	09.01.2008 16:00	232415	close2 by rsi	23	09.01.2008 16:15	231900	-0,22	-1030	1	-1030	-1545	-515	-0,22%	160	0,07%
Короткая	RTS_M1_2008_2015	1	Short pos 1	35	10.01.2008 11:30	232465	close1 by sl	44	10.01.2008 13:45	233465	-0,43	-1000	9	-111,11111	-2545	-1000	-0,43%	285	0,12%
Короткая	RTS_M1_2008_2015	2	Short pos 2	35	10.01.2008 11:30	232465	close2 by sl	44	10.01.2008 13:45	233465	-0,43	-2000	9	-222,22222	-4545	-1000	-0,43%	285	0,12%
Длинная	RTS_M1_2008_2015	1	Long pos 1	59	10.01.2008 17:30	233430	close1 by rsi	60	10.01.2008 17:45	233070	-0,15	-360	1	-360	-4905	-425	-0,18%	0	0,00%
Длинная	RTS_M1_2008_2015	2	Long pos 2	59	10.01.2008 17:30	233430	close2 by rsi	60	10.01.2008 17:45	233070	-0,15	-720	1	-720	-5625	-425	-0,18%	0	0,00%
Длинная	RTS_M1_2008_2015	1	Long pos 1	95	14.01.2008 11:00	233035	close1 by tp	98	14.01.2008 11:45	235315	0,98	2280	3	760	-3345	-285	-0,12%	2280	0,98%
Длинная	RTS_M1_2008_2015	2	Long pos 2	95	14.01.2008 11:00	233035	Close by trail	124	15.01.2008 10:30	236013,387	1,28	5956,774	29	205,406	2611,774	-285	-0,12%	2978,387	1,28%
Короткая	RTS_M1_2008_2015	1	Short pos 1	101	14.01.2008 12:30	235145	close1 by sl	104	14.01.2008 13:15	236160	-0,43	-1015	3	-338,33333	1596,774	-1015	-0,43%	235	0,10%
Короткая	RTS_M1_2008_2015	2	Short pos 2	101	14.01.2008 12:30	235145	close2 by sl	104	14.01.2008 13:15	236160	-0,43	-2030	3	-676,66667	-433,226	-1015	-0,43%	235	0,10%
Короткая	RTS_M1_2008_2015	1	Short pos 1	143	15.01.2008 15:15	236695	close1 by tp	150	15.01.2008 17:00	235165	0,65	1530	7	218,57143	1096,774	-45	-0,02%	1530	0,65%
Короткая	RTS_M1_2008_2015	2	Short pos 2	143	15.01.2008 15:15	236695	Close by trail	181	16.01.2008 17:00	224655,036	5,09	24079,928	38	633,68232	25176,702	-45	-0,02%	16695	7,05%
Длинная	RTS_M1_2008_2015	1	Long pos 1	155	16.01.2008 10:30	232650	close1 by rsi	156	16.01.2008 10:45	232145	-0,22	-505	1	-505	24671,702	-505	-0,22%	150	0,06%
Длинная	RTS_M1_2008_2015	2	Long pos 2	155	16.01.2008 10:30	232650	close2 by rsi	156	16.01.2008 10:45	232145	-0,22	-1010	1	-1010	23661,702	-505	-0,22%	150	0,06%
Длинная	RTS_M1_2008_2015	1	Long pos 1	219	18.01.2008 11:00	219775	close1 by rsi	220	18.01.2008 11:15	218620	-0,53	-1155	1	-1155	22506,702	-1155	-0,53%	225	0,10%
Длинная	RTS_M1_2008_2015	2	Long pos 2	219	18.01.2008 11:00	219775	close2 by rsi	220	18.01.2008 11:15	218620	-0,53	-2310	1	-2310	20196,702	-1155	-0,53%	225	0,10%
Длинная	RTS_M1_2008_2015	1	Long pos 1	319	23.01.2008 12:45	198900	close1 by rsi	320	23.01.2008 13:00	198795	-0,05	-105	1	-105	20091,702	-1575	-0,79%	0	0,00%
Длинная	RTS_M1_2008_2015	2	Long pos 2	319	23.01.2008 12:45	198900	close2 by rsi	320	23.01.2008 13:00	198795	-0,05	-210	1	-210	19881,702	-1575	-0,79%	0	0,00%
Короткая	RTS_M1_2008_2015	1	Short pos 1	354	24.01.2008 13:45	199450	close1 by sl	355	24.01.2008 14:00	200425	-0,49	-975	1	-975	18906,702	-975	-0,49%	150	0,08%
Короткая	RTS_M1_2008_2015	2	Short pos 2	354	24.01.2008 13:45	199450	close2 by sl	355	24.01.2008 14:00	200425	-0,49	-1950	1	-1950	16956,702	-975	-0,49%	150	0,08%
